ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts,total_count,Month_num,Day_num
15919,"June 11, 2009 06:00:00 AM",2009,June,11,Thursday,6,1,Bourke Street Mall (North),89,39294,6,4
49282,"September 01, 2009 12:00:00 AM",2009,September,1,Tuesday,0,11,Waterfront City,2,3858,9,2
1134823,"May 09, 2015 12:00:00 AM",2015,May,9,Saturday,0,26,QV Market-Elizabeth St (West),237,17253,5,6
835549,"April 30, 2014 12:00:00 PM",2014,April,30,Wednesday,12,29,St Kilda Rd-Alexandra Gardens,504,11995,4,3
371245,"October 14, 2011 07:00:00 PM",2011,October,14,Friday,19,3,Melbourne Central,2830,36815,10,5
3245695,"July 20, 2020 08:00:00 PM",2020,July,20,Monday,20,36,Queen St (West),26,5556,7,1
1136760,"May 11, 2015 03:00:00 AM",2015,May,11,Monday,3,25,Melbourne Convention Exhibition Centre,11,21974,5,1
4290080,"May 13, 2022 03:00:00 AM",2022,May,13,Friday,3,6,Flinders Street Station Underpass,22,53444,5,5
604727,"April 13, 2013 06:00:00 AM",2013,April,13,Saturday,6,10,Victoria Point,29,8826,4,6
4512122,"September 14, 2022 05:00:00 AM",2022,September,14,Wednesday,5,78,Harbour Esplanade (West) - Bike Path,4,262,9,3
261126,"January 16, 2011 06:00:00 PM",2011,January,16,Sunday,18,13,Flagstaff Station,27,16612,1,7
4442840,"August 19, 2022 02:00:00 AM",2022,August,19,Friday,2,36,Queen St (West),9,5556,8,5
3064244,"March 12, 2020 02:00:00 PM",2020,March,12,Thursday,14,37,Lygon St (East),170,5038,3,4
641254,"July 08, 2013 10:00:00 PM",2013,July,8,Monday,22,7,Birrarung Marr,173,19635,7,1
3523787,"January 26, 2021 04:00:00 PM",2021,January,26,Tuesday,16,54,Lincoln-Swanston(West),19,634,1,2
2336248,"August 11, 2018 08:00:00 AM",2018,August,11,Saturday,8,41,Flinders La-Swanston St (West),600,18345,8,6
3981918,"November 12, 2021 06:00:00 AM",2021,November,12,Friday,6,45,Little Collins St-Swanston St (East),31,10394,11,5
1290066,"October 19, 2015 05:00:00 AM",2015,October,19,Monday,5,29,St Kilda Rd-Alexandra Gardens,37,11995,10,1
1892327,"July 07, 2017 12:00:00 AM",2017,July,7,Friday,0,2,Bourke Street Mall (South),63,51884,7,5
910420,"August 07, 2014 04:00:00 AM",2014,August,7,Thursday,4,34,Flinders St-Spark La,7,3015,8,4
793113,"March 04, 2014 11:00:00 AM",2014,March,4,Tuesday,11,6,Flinders Street Station Underpass,1059,53444,3,2
3485630,"January 02, 2021 04:00:00 PM",2021,January,2,Saturday,16,11,Waterfront City,80,3858,1,6
4422791,"August 20, 2022 05:00:00 PM",2022,August,20,Saturday,17,2,Bourke Street Mall (South),1574,51884,8,6
910109,"August 06, 2014 06:00:00 PM",2014,August,6,Wednesday,18,15,State Library,1453,50017,8,3
2961945,"December 28, 2019 08:00:00 AM",2019,December,28,Saturday,8,29,St Kilda Rd-Alexandra Gardens,88,11995,12,6
3328004,"September 17, 2020 10:00:00 PM",2020,September,17,Thursday,22,44,Tin Alley-Swanston St (West),0,2369,9,4
