ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts,total_count,Month_num,Day_num
3252851,"July 26, 2020 03:00:00 AM",2020,July,26,Sunday,3,22,Flinders St-Elizabeth St (East),37,82570,7,7
2686775,"May 27, 2019 10:00:00 PM",2019,May,27,Monday,22,48,QVM-Queen St (East),57,8664,5,1
4509635,"September 30, 2022 02:00:00 PM",2022,September,30,Friday,14,71,Westwood Place,30,361,9,5
1964454,"September 18, 2017 11:00:00 AM",2017,September,18,Monday,11,6,Flinders Street Station Underpass,1283,159391,9,1
1945676,"August 30, 2017 02:00:00 PM",2017,August,30,Wednesday,14,14,Sandridge Bridge,468,51255,8,3
2121804,"February 07, 2018 11:00:00 AM",2018,February,7,Wednesday,11,39,Alfred Place,418,14784,2,3
858345,"May 31, 2014 04:00:00 AM",2014,May,31,Saturday,4,23,Spencer St-Collins St (South),14,20438,5,6
1976397,"September 29, 2017 02:00:00 PM",2017,September,29,Friday,14,37,Lygon St (East),266,9906,9,5
796169,"March 08, 2014 01:00:00 PM",2014,March,8,Saturday,13,25,Melbourne Convention Exhibition Centre,1533,56737,3,6
2363224,"September 02, 2018 10:00:00 AM",2018,September,2,Sunday,10,39,Alfred Place,155,14784,9,7
3156862,"May 18, 2020 07:00:00 AM",2020,May,18,Monday,7,61,Swanston St - RMIT Building 14,44,6523,5,1
2693253,"June 02, 2019 01:00:00 AM",2019,June,2,Sunday,1,2,Bourke Street Mall (South),139,123190,6,7
604727,"April 13, 2013 06:00:00 AM",2013,April,13,Saturday,6,10,Victoria Point,29,21016,4,6
2759680,"July 24, 2019 03:00:00 PM",2019,July,24,Wednesday,15,7,Birrarung Marr,186,35973,7,3
1537922,"June 25, 2016 12:00:00 AM",2016,June,25,Saturday,0,39,Alfred Place,41,14784,6,6
2422203,"October 20, 2018 04:00:00 AM",2018,October,20,Saturday,4,46,Pelham St (South),9,1722,10,6
3622158,"March 31, 2021 10:00:00 AM",2021,March,31,Wednesday,10,69,Flinders Ln -Degraves St (Crossing),230,1297,3,3
2537822,"January 24, 2019 11:00:00 AM",2019,January,24,Thursday,11,56,Lonsdale St - Elizabeth St (North),508,8815,1,4
957706,"October 07, 2014 12:00:00 AM",2014,October,7,Tuesday,0,23,Spencer St-Collins St (South),10,20438,10,2
708455,"November 09, 2013 01:00:00 PM",2013,November,9,Saturday,13,20,Chinatown-Lt Bourke St (South),623,26134,11,6
2762484,"July 26, 2019 07:00:00 PM",2019,July,26,Friday,19,3,Melbourne Central,1725,102631,7,5
4353574,"June 04, 2022 03:00:00 PM",2022,June,4,Saturday,15,41,Flinders La-Swanston St (West),3255,68374,6,6
1768173,"February 21, 2017 08:00:00 AM",2017,February,21,Tuesday,8,27,QV Market-Peel St,194,11985,2,2
2161321,"March 13, 2018 10:00:00 PM",2018,March,13,Tuesday,22,26,QV Market-Elizabeth St (West),297,46675,3,2
299120,"April 20, 2011 11:00:00 PM",2011,April,20,Wednesday,23,2,Bourke Street Mall (South),218,123190,4,3
3962353,"October 31, 2021 05:00:00 PM",2021,October,31,Sunday,17,15,State Library,1482,95844,10,7
1157141,"June 01, 2015 10:00:00 PM",2015,June,1,Monday,22,32,City Square,213,24004,6,1
2599936,"March 17, 2019 08:00:00 PM",2019,March,17,Sunday,20,47,Melbourne Central-Elizabeth St (East),873,43401,3,7
3053332,"March 04, 2020 03:00:00 PM",2020,March,4,Wednesday,15,1,Bourke Street Mall (North),2382,96649,3,3
561801,"January 03, 2013 04:00:00 AM",2013,January,3,Thursday,4,12,New Quay,2,21888,1,4
1420565,"February 29, 2016 04:00:00 PM",2016,February,29,Monday,16,42,Grattan St-Swanston St (West),1844,13800,2,1
972245,"October 25, 2014 12:00:00 PM",2014,October,25,Saturday,12,30,Lonsdale St (South),864,35433,10,6
3922446,"October 07, 2021 07:00:00 PM",2021,October,7,Thursday,19,72,Flinders St-ACMI,128,1717,10,4
3810432,"August 01, 2021 09:00:00 PM",2021,August,1,Sunday,21,36,Queen St (West),22,17094,8,7
2371280,"September 09, 2018 12:00:00 AM",2018,September,9,Sunday,0,36,Queen St (West),382,17094,9,7
3153253,"May 15, 2020 06:00:00 PM",2020,May,15,Friday,18,45,Little Collins St-Swanston St (East),254,29926,5,5
3318389,"September 11, 2020 11:00:00 AM",2020,September,11,Friday,11,40,Lonsdale St-Spring St (West),62,16821,9,5
1331201,"December 01, 2015 01:00:00 PM",2015,December,1,Tuesday,13,39,Alfred Place,923,14784,12,2
1746741,"January 28, 2017 02:00:00 PM",2017,January,28,Saturday,14,24,Spencer St-Collins St (North),991,98980,1,6
2993623,"January 20, 2020 04:00:00 PM",2020,January,20,Monday,16,27,QV Market-Peel St,170,11985,1,1
2326105,"August 03, 2018 03:00:00 AM",2018,August,3,Friday,3,14,Sandridge Bridge,9,51255,8,5
1597576,"August 24, 2016 06:00:00 AM",2016,August,24,Wednesday,6,9,Southern Cross Station,478,61139,8,3
2186330,"April 04, 2018 07:00:00 PM",2018,April,4,Wednesday,19,33,Flinders St-Spring St (West),161,7030,4,3
1780644,"March 06, 2017 04:00:00 PM",2017,March,6,Monday,16,17,Collins Place (South),780,65975,3,1
2791239,"August 17, 2019 10:00:00 PM",2019,August,17,Saturday,22,11,Waterfront City,35,10824,8,6
4397792,"July 22, 2022 03:00:00 AM",2022,July,22,Friday,3,44,Tin Alley-Swanston St (West),5,5257,7,5
835558,"April 30, 2014 01:00:00 PM",2014,April,30,Wednesday,13,5,Princes Bridge,1343,118831,4,3
2069963,"December 23, 2017 08:00:00 AM",2017,December,23,Saturday,8,10,Victoria Point,30,21016,12,6
1299082,"October 28, 2015 09:00:00 PM",2015,October,28,Wednesday,21,15,State Library,937,95844,10,3
1769129,"February 22, 2017 09:00:00 AM",2017,February,22,Wednesday,9,6,Flinders Street Station Underpass,2182,159391,2,3
3110308,"April 15, 2020 12:00:00 AM",2020,April,15,Wednesday,0,62,La Trobe St (North),15,2084,4,3
965590,"October 16, 2014 11:00:00 PM",2014,October,16,Thursday,23,20,Chinatown-Lt Bourke St (South),180,26134,10,4
79017,"November 10, 2009 04:00:00 AM",2009,November,10,Tuesday,4,9,Southern Cross Station,0,61139,11,2
1467798,"April 16, 2016 11:00:00 PM",2016,April,16,Saturday,23,12,New Quay,94,21888,4,6
4144197,"February 23, 2022 08:00:00 PM",2022,February,23,Wednesday,20,9,Southern Cross Station,84,61139,2,3
2757699,"July 23, 2019 02:00:00 AM",2019,July,23,Tuesday,2,27,QV Market-Peel St,3,11985,7,2
3692367,"May 19, 2021 06:00:00 AM",2021,May,19,Wednesday,6,55,Elizabeth St-La Trobe St (East),321,13085,5,3
2900114,"November 11, 2019 09:00:00 AM",2019,November,11,Monday,9,2,Bourke Street Mall (South),683,123190,11,1
1215542,"August 01, 2015 05:00:00 PM",2015,August,1,Saturday,17,15,State Library,1959,95844,8,6
390837,"December 01, 2011 07:00:00 PM",2011,December,1,Thursday,19,11,Waterfront City,91,10824,12,4
2794702,"August 20, 2019 02:00:00 PM",2019,August,20,Tuesday,14,24,Spencer St-Collins St (North),2148,98980,8,2
